title,content
calculate,[C|c]alculat.*
size,size.*
deduce,deduce.?
length,length.?
piece,piece.*
wire,wire.?
circle,circle.*
circumference,circumference.?
square,square.*
perimeter,perimeter.*
minimum,minimum.*
radius,radius.?
spherical balloon,spherical balloon.?
inflated,inflated.?
volume,[V|v]olume.*
origin,origin.*
curve,curve.?
enclosed,enclosed.?
chord,chord.*
portion,portion.?
bowl,bowl.?
depth,depth.*
partial fraction,partial fraction.*
power,power.?
induction,induction.?
e,e\^.*
expression,expression.?
coordinate,coordinate.?
tangent,tangent.?
parallel,parallel.?
equation,equation.*
probability,probability.?
random,random.*
gather,[G|g]ather.*
blood,blood.*
random sample,random sample.*
independently,independently.*
poisson_distribution,[P|p]oisson distribution.?
probability density function,probability density function.?
random variable,random variable.*
sample,[S|s]ampl.?
independent observation,independent observation.?
lies,lies.?
seed,seed.*
germinate,germinate.?
interval,interval.*
crop,crop.*
unbiased,unbiased.?
population,population.?
hypothesis,hypothesis.?
largest level,largest level.?
rejection,rejection.?
diagram,diagram.?
sketch,sketch.*
stationary point,stationary point.?
asymptote,[A|a]symptote.?
graph,graph.*
real root,real root.*
smallest positive root,smallest positive root.?
interpolation,interpolation.*
Newton-Raphson,Newton-Raphson.*
second approximation,second approximation.*
greater,greater.*
less,less.*
single,single.?
differential_equation,differential equation.?
locus,locus.*
complex_number,complex number.?
Plane,[P|]plane.*
perpendicular,perpendicular.*
numerical_value,numerical value.*
polynomial,polynomial.?
factor,factor.*
solution,solution.*
minor arc,minor arc.*
first term,first term.?
geometric_progression,geometric progression.?
infinity,infinity.*
Maclaurin's_series,Maclaurin's series.?
term,term.?
function,function.*
letter,letter.*
row,row.?
sense,sense.?
surface area,surface area.*
rate,rate.*
the least value,the least value.?
root,root.*
close,close.?
zero,[Z|z]ero.?
width,width.?
parameter,parameter.?
angle,[A|a]ngle.?
triangle,triangle.?
real,real.*
always_positive,[A|a]lways [P|p]ositive.?
line,line.*
normal,normal.*
cut,cut.?
cartesian_equation,cartesian equation.?
constant,constant.*
evaluate,[E|e]valuat.*
turning point,turning point.*
region bounded,region bounded.?
solid,solid.*
revolution,revolution.?
correct,correct.?
probability distribution,probability distribution.*
smallest,smallest.?
continuous_random,continuous random.*
probability density,probability density.*
normal_distribution,normal distribution.*
mean,mean.?
variance,variance.?
sum,sum.?
large,large.?
coin,coin.*
chosen,chosen.*
discrete_random_variable,discrete random variable.*
standard deviation,standard deviation.*
null hypothesis,null hypothesis.*
alternative_hypothesis,[A|a]lternative [H|h]ypothesis.*
range,range.?
simultaneous equation,simultaneous equation.?
real part,real part.*
imaginary part,imaginary part.?
intersect,intersect.?
first approximation,first approximation.?
base,base.?
horizontal,horizontal.?
right angle,right angle.?
vector,[V|v]ector.*
perpendicular distance,perpendicular distance.?
mid-point,mid-point.*
translated,translated.*
direction,direction.*
stretched,stretched.*
scale factor,scale factor.?
geometrical_transformation,geometrical transformation.*
shaded region,shaded region.*
coefficient,coefficient.?
obtain,obtain.*
standard series expansion,standard series expansion.?
rth,rth.*
first n term,first n term.?
formula,formula.?
bisector,bisector.?
isoscele,isoscele.*
real value,real value.*
adjacent,[A|a]djacent.*
together,together.*
number of possible seating,number of possible seating.*
refuse,refuse.*
exact value,exact value.?
card,card.?
set,set.?
describe,describe.?
word,[W|w]ord.?
conditional_probability,conditional probability.*
replacement,replacement.?
game,game.?
bottle,bottle.?
ball,ball.?
blue,blue.*
red,red.*
shaken,shaken.*
without replacement,without replacement.?
expectation,expectation.*
score,score.?
cumulative_distribution,cumulative distribution.?
confidence_interval,confidence interval.?
proportion,proportion.*
discrete,discrete.?
test,test.*
level of significance,level of significance.*
reflection,reflection.*
Argand diagram,[A|a]rgand diagram.*
equilateral,equilateral.?
modulus,modulus.?
argument,[A|a]rgument.*
state,state.*
circular table,circular table.*
centre,centre.*
leg,leg.?
adjusted,[A|a]djusted.?
sloping floor,sloping floor.?
perpendicular unit vector,[P|p]erpendicular unit vector.?
inclined,inclined.*
simplify,[S|s]implif.?
pass,pass.*
skew,skew.*
derivative,derivative.?
limit,limit.*
possible value,possible value.?
form,form.*
order,order.?
start,start.*
odd,odd.*
integral,integral.?
rotated,rotated.?
satisfy,satisfy.*
three,three.*
common ratio,common ratio.*
sum to infinity,sum to infinity.?
arithmetic_progression,[A|a]rithmetic [P|p]rogression.*
positive,positive.*
face,face.?
foot of the perpendicular,foot of the perpendicular.?
expand,[E|e]xpan.*
set of value,set of value.?
series expansion,series expansion.?
valid,valid.?
equation_of_the_tangent,equation of the tangent.*
rectangle,rectangle.*
solid of revolution,solid of revolution.?
tetrahedron,tetrahedron.*
triangular face,triangular face.?
concurrent,concurrent.?
Var,Var.?
less than,less than.*
ticket,ticket.*
at least,[A|a]t [L|l]east.*
at most,[A|a]t most.*
symmetric,symmetric.*
significance level,significance level.*
die,die.*
black,black.?
green,green.?
lowest term,lowest term.*
x-coordinate,x-coordinate.*
intersection,intersection.?
loci,loci.*
relative,[R|r]elative.*
straight,straight.*
distinct point,distinct point.*
parametric equation,parametric equation.*
curve cross,curve cross.*
show,show.?
differentiate,[D|d]ifferentiat.*
twice,twice.?
without using a calculator,without using a calculator.?
convergent,convergent.?
arithmetic,[A|a]rithmetic.*
fact,fact.?
integration,[I|i]ntegrat.?
part,part.?
pyramid,pyramid.*
circular cylinder,circular cylinder.*
increasing,increasing.*
uniform_distribution,uniform \(rectangular\) distribution.*
company,company.?
customer,customer.?
leaflet,leaflet.*
exceed,exceed.*
battery,battery.*
event,event.?
envelope,envelope.*
incorrect,incorrect.*
rectangular tank,rectangular tank.?
flowing,flowing.*
projection,projection.*
iteration,iteration.*
series,series.?
different arrangements,different arrangements.?
digits,digits.?
phone,phone.?
product,product.*
Argand,[A|a]rgand.?
nature,nature.?
increase,increase.*
summarized,summarized.?
unbiased_estimate,unbiased estimate.?
population mean,population mean.*
binomial_distribution,binomial distribution.?
lower,lower.?
upper,upper.*
quartile,quartile.?
continuous_uniform_distribution,continuous uniform \(rectangular\) distribution.?
committee,committee.?
number of ways,number of ways.?
men,men.?
women,women.*
illustrate,illustrate.*
two different iterative method,two different iterative method.?
initial approximation,initial approximation.*
axes,axes.*
maximum,maximum.?
substitute,substitute.*
consecutive,consecutive.*
distribution,distribution.?
observation,observation.*
sample mean,sample mean.*
alternative,[A|a]lternative.?
none,none.*
non-collinear,non-collinear.?
parallelogram,parallelogram.*
cubic_equation,cubic equation.*
cuboid,cuboid.?
finite region,finite region.*
differential,differential.*
variety,variety.*
percentile,percentile.*
carry,[C|c]arry.*
2-tail test,2-tail test.?
find,[F|f]ind.*
bounded by,bounded by.*
ff,ff.*
inverse,inverse.*
regular hexagon,regular hexagon.*
indefinite,indefinite.?
decreasing,decreasing.*
failure rate,failure rate.?
treatment,treatment.*
mode,mode.?
verify,verify.*
average,[A|a]verage.*
fewer than,fewer than.*
trials,trials.?
normal_approximation,normal approximation.*
sequence,sequence.?
square piece,square piece.?
horizontal table,horizontal table.?
inclination,inclination.?
similar form,similar form.?
indistinguishable,indistinguishable.?
different,different.*
pick,pick.*
hollow cone,hollow cone.?
vertex,vertex.*
instead,instead.*
gradient,gradient.*
law,law.?
logarithms,logarithms.*
quadrilateral,quadrilateral.?
assumption,[A|a]ssumption.?
fraction,fraction.?
poisson,[P|p]oisson.*
binomial,[B|b]inomial.*
composite,composite.?
explain,[E|e]xplain.?
domain,domain.?
complex_conjugate,complex conjugate.?
current,current.*
electric circuit,electric circuit.*
non-trigonometrical,non-trigonometrical.*
recurrence,recurrence.?
sequence converge,sequence converge.?
common_difference,common difference.*
selection,selection.?
relation,relation.?
alpha,[A|a]lpha.?
theta,[T|t]heta.?
beta,[B|b]eta.?
ascending,[A|a]scending.?
descending,descending.?
particle_mechanics,[P|p]article [M|m]echanic.?
value,[V|v]alue.?
cartesian,cartesian.?
approximate,[A|a]pproximate.*
estimate,[E|e]stimat.*
